"global_step","PPOLSTMMovingBall72Px - _step","PPOLSTMMovingBall72Px - _step__MIN","PPOLSTMMovingBall72Px - _step__MAX","PPOLSTMMovingBall72Px - rollout/ep_rew_mean","PPOLSTMMovingBall72Px - rollout/ep_rew_mean__MIN","PPOLSTMMovingBall72Px - rollout/ep_rew_mean__MAX"
"512","0","0","0","0.46779999136924744","0.46779999136924744","0.46779999136924744"
"1024","1","1","1","-0.021199999377131462","-0.021199999377131462","-0.021199999377131462"
"1536","2","2","2","-0.26570001244544983","-0.26570001244544983","-0.26570001244544983"
"2048","3","3","3","-0.4124000072479248","-0.4124000072479248","-0.4124000072479248"
"2560","4","4","4","-0.5800571441650391","-0.5800571441650391","-0.5800571441650391"
"3072","5","5","5","-0.6324499845504761","-0.6324499845504761","-0.6324499845504761"
"3584","6","6","6","-0.6732000112533569","-0.6732000112533569","-0.6732000112533569"
"4096","7","7","7","-0.7057999968528748","-0.7057999968528748","-0.7057999968528748"
"4608","8","8","8","-0.7324727177619934","-0.7324727177619934","-0.7324727177619934"
"5120","9","9","9","-0.5906285643577576","-0.5906285643577576","-0.5906285643577576"
"5632","10","10","10","-0.6178666949272156","-0.6178666949272156","-0.6178666949272156"
"6144","11","11","11","-0.641700029373169","-0.641700029373169","-0.641700029373169"
"6656","12","12","12","-0.6627293825149536","-0.6627293825149536","-0.6627293825149536"
"7168","13","13","13","-0.681422233581543","-0.681422233581543","-0.681422233581543"
"7680","14","14","14","-0.588857114315033","-0.588857114315033","-0.588857114315033"
"8192","15","15","15","-0.6075090765953064","-0.6075090765953064","-0.6075090765953064"
"8704","16","16","16","-0.6245391368865967","-0.6245391368865967","-0.6245391368865967"
"9216","17","17","17","-0.6401500105857849","-0.6401500105857849","-0.6401500105857849"
"9728","18","18","18","-0.6545119881629944","-0.6545119881629944","-0.6545119881629944"
"10240","19","19","19","-0.6800444722175598","-0.6800444722175598","-0.6800444722175598"
"10752","20","20","20","-0.6914428472518921","-0.6914428472518921","-0.6914428472518921"
"11264","21","21","21","-0.7020551562309265","-0.7020551562309265","-0.7020551562309265"
"11776","22","22","22","-0.7119600176811218","-0.7119600176811218","-0.7119600176811218"
"12288","23","23","23","-0.6407250165939331","-0.6407250165939331","-0.6407250165939331"
"12800","24","24","24","-0.6618117690086365","-0.6618117690086365","-0.6618117690086365"
"13312","25","25","25","-0.6714514493942261","-0.6714514493942261","-0.6714514493942261"
"13824","26","26","26","-0.6805555820465088","-0.6805555820465088","-0.6805555820465088"
"14336","27","27","27","-0.6891675591468811","-0.6891675591468811","-0.6891675591468811"
"14848","28","28","28","-0.6388900279998779","-0.6388900279998779","-0.6388900279998779"
"15360","29","29","29","-0.6476780772209167","-0.6476780772209167","-0.6476780772209167"
"15872","30","30","30","-0.6560476422309875","-0.6560476422309875","-0.6560476422309875"
"16384","31","31","31","-0.6053272485733032","-0.6053272485733032","-0.6053272485733032"
"16896","32","32","32","-0.614080011844635","-0.614080011844635","-0.614080011844635"
"17408","33","33","33","-0.5748680830001831","-0.5748680830001831","-0.5748680830001831"
"17920","34","34","34","-0.5837083458900452","-0.5837083458900452","-0.5837083458900452"
"18432","35","35","35","-0.6003280282020569","-0.6003280282020569","-0.6003280282020569"
"18944","36","36","36","-0.608148992061615","-0.608148992061615","-0.608148992061615"
"19456","37","37","37","-0.5700528025627136","-0.5700528025627136","-0.5700528025627136"
"19968","38","38","38","-0.578000009059906","-0.578000009059906","-0.578000009059906"
"20480","39","39","39","-0.5856581926345825","-0.5856581926345825","-0.5856581926345825"
"20992","40","40","40","-0.6001684069633484","-0.6001684069633484","-0.6001684069633484"
"21504","41","41","41","-0.6070482730865479","-0.6070482730865479","-0.6070482730865479"
"22016","42","42","42","-0.6136949062347412","-0.6136949062347412","-0.6136949062347412"
"22528","43","43","43","-0.6201199889183044","-0.6201199889183044","-0.6201199889183044"
"23040","44","44","44","-0.632348358631134","-0.632348358631134","-0.632348358631134"
"23552","45","45","45","-0.6381714344024658","-0.6381714344024658","-0.6381714344024658"
"24064","46","46","46","-0.6438124775886536","-0.6438124775886536","-0.6438124775886536"
"24576","47","47","47","-0.6492800116539001","-0.6492800116539001","-0.6492800116539001"
"25088","48","48","48","-0.6545818448066711","-0.6545818448066711","-0.6545818448066711"
"25600","49","49","49","-0.6647176742553711","-0.6647176742553711","-0.6647176742553711"
"26112","50","50","50","-0.6695652008056641","-0.6695652008056641","-0.6695652008056641"
"26624","51","51","51","-0.6742742657661438","-0.6742742657661438","-0.6742742657661438"
"27136","52","52","52","-0.6788507103919983","-0.6788507103919983","-0.6788507103919983"
"27648","53","53","53","-0.687627375125885","-0.687627375125885","-0.687627375125885"
"28160","54","54","54","-0.6591626405715942","-0.6591626405715942","-0.6591626405715942"
"28672","55","55","55","-0.6636368632316589","-0.6636368632316589","-0.6636368632316589"
"29184","56","56","56","-0.6679947972297668","-0.6679947972297668","-0.6679947972297668"
"29696","57","57","57","-0.6722410321235657","-0.6722410321235657","-0.6722410321235657"
"30208","58","58","58","-0.6763797402381897","-0.6763797402381897","-0.6763797402381897"
"30720","59","59","59","-0.6843506097793579","-0.6843506097793579","-0.6843506097793579"
"31232","60","60","60","-0.688190221786499","-0.688190221786499","-0.688190221786499"
"31744","61","61","61","-0.6600666642189026","-0.6600666642189026","-0.6600666642189026"
"32256","62","62","62","-0.6640564799308777","-0.6640564799308777","-0.6640564799308777"
"32768","63","63","63","-0.6717609167098999","-0.6717609167098999","-0.6717609167098999"
